"","Mail","Gifts","CnGf_1_Amount","TestGroup1","Gender","St","Type","Class","Left","Middle","Right","Largest","Last","LGDate","FY13","FY14","Class1","FY1314","log13","log14","logLast","newdate","TG","TestGroup1B","TestGroup1C","TestGroup1D","Baselinell"
"103",0,0,250,"C",2,1,0,2001,325,275,225,36,215,104,50,215,14,10750,3.93182563272433,5.37527840768417,5.37527840768417,16589,"C",0,1,0,-0.407968238326283
"104",0,1,500,"A",1,0,0,1971,800,500,250,40,250,433,200,250,44,50000,5.30330490805908,5.52545293913178,5.52545293913178,16260,"A",0,0,0,-1.09362474715707
"105",1,1,50,"B",2,0,0,1983,150,100,50,61,50,154,50,50,32,2500,3.93182563272433,3.93182563272433,3.93182563272433,16539,"B",1,0,0,-1.09362474715707
"106",0,0,0,"A",2,1,0,1969,150,100,50,61,25,525,25,0,46,0,3.25809653802148,0,3.25809653802148,16168,"A",0,0,0,-0.407968238326283
"107",0,0,0,"C",2,1,0,1974,100,75,50,61,35,439,35,0,41,0,3.58351893845611,0,3.58351893845611,16254,"C",0,1,0,-0.407968238326283
"108",0,0,50,"C",2,0,1,1951,150,125,100,9,50,163,0,50,64,0,0,3.93182563272433,3.93182563272433,16530,"C",0,1,0,-0.407968238326283
"109",0,0,0,"B",2,0,1,1988,300,200,100,9,100,154,0,100,27,0,0,4.61512051684126,4.61512051684126,16539,"B",1,0,0,-0.407968238326283
"110",0,0,0,"C",2,0,1,1975,150,125,100,9,100,433,100,100,40,10000,4.61512051684126,4.61512051684126,4.61512051684126,16260,"C",0,1,0,-0.407968238326283
"111",0,1,30,"B",2,1,1,1977,100,75,50,46,30,466,30,30,38,900,3.43398720448515,3.43398720448515,3.43398720448515,16227,"B",1,0,0,-1.09362474715707
"112",0,0,0,"C",2,0,0,1963,150,125,100,9,100,185,0,100,52,0,0,4.61512051684126,4.61512051684126,16508,"C",0,1,0,-0.407968238326283
"113",1,1,25,"B",2,0,1,1955,150,100,50,61,25,548,0,0,60,0,0,0,3.25809653802148,16145,"B",1,0,0,-1.09362474715707
"114",0,0,0,"B",2,1,1,1986,1200,800,400,56,250,123,250,0,29,0,5.52545293913178,0,5.52545293913178,16570,"B",1,0,0,-0.407968238326283
"115",0,1,50,"A",2,0,1,1956,225,150,75,75,50,430,0,50,59,0,0,3.93182563272433,3.93182563272433,16263,"A",0,0,0,-1.09362474715707
"116",0,1,25,"A",2,0,0,1946,150,100,50,39,25,401,50,25,69,1250,3.93182563272433,3.25809653802148,3.25809653802148,16292,"A",0,0,0,-1.09362474715707
"117",0,0,0,"C",1,0,1,1991,125,100,75,75,75,537,75,75,24,5625,4.33073334028633,4.33073334028633,4.33073334028633,16156,"C",0,1,0,-0.407968238326283
"118",0,0,0,"A",2,1,0,1987,450,300,150,22,50,333,50,0,28,0,3.93182563272433,0,3.93182563272433,16360,"A",0,0,0,-0.407968238326283
"119",0,0,0,"B",2,1,0,1975,375,250,125,16,120,432,120,0,40,0,4.79579054559674,0,4.79579054559674,16261,"B",1,0,0,-0.407968238326283
"120",0,1,200,"B",2,0,0,1977,800,500,250,40,100,294,200,100,38,20000,5.30330490805908,4.61512051684126,4.61512051684126,16399,"B",1,0,0,-1.09362474715707
"121",0,1,50,"B",2,1,1,1981,300,200,100,9,50,509,50,50,34,2500,3.93182563272433,3.93182563272433,3.93182563272433,16184,"B",1,0,0,-1.09362474715707
"122",1,1,300,"C",2,0,0,1959,450,375,300,47,300,135,300,300,56,90000,5.70711026474888,5.70711026474888,5.70711026474888,16558,"C",0,1,0,-1.09362474715707
"123",0,1,50,"A",2,0,1,1970,150,100,50,61,25,194,25,0,45,0,3.25809653802148,0,3.25809653802148,16499,"A",0,0,0,-1.09362474715707
"124",0,0,0,"C",2,1,0,1959,75,50,25,39,20,361,120,200,56,24000,4.79579054559674,5.30330490805908,3.04452243772342,16332,"C",0,1,0,-0.407968238326283
"125",0,0,0,"B",2,0,0,1966,300,200,100,9,100,546,0,0,49,0,0,0,4.61512051684126,16147,"B",1,0,0,-0.407968238326283
"126",0,1,125,"D",2,1,0,1991,375,250,125,40,125,447,125,125,24,15625,4.83628190695148,4.83628190695148,4.83628190695148,16246,"D",0,0,1,-1.09362474715707
"127",0,0,0,"C",2,0,0,1965,375,325,250,40,100,414,250,100,50,25000,5.52545293913178,4.61512051684126,4.61512051684126,16279,"C",0,1,0,-0.407968238326283
"128",0,0,0,"A",2,1,1,1992,150,100,50,61,50,193,50,50,23,2500,3.93182563272433,3.93182563272433,3.93182563272433,16500,"A",0,0,0,-0.407968238326283
"129",0,1,100,"C",2,1,1,1986,150,125,100,9,100,337,50,100,29,5000,3.93182563272433,4.61512051684126,4.61512051684126,16356,"C",0,1,0,-1.09362474715707
"130",0,0,0,"D",2,0,0,1963,75,50,25,46,30,522,30,0,52,0,3.43398720448515,0,3.43398720448515,16171,"D",0,0,1,-0.407968238326283
"131",0,1,15,"B",2,0,1,1970,75,50,25,21,15,23,15,15,45,225,2.77258872223978,2.77258872223978,2.77258872223978,16670,"B",1,0,0,-1.09362474715707
"132",0,0,0,"B",2,1,1,1967,300,200,100,9,100,94,100,100,48,10000,4.61512051684126,4.61512051684126,4.61512051684126,16599,"B",1,0,0,-0.407968238326283
"133",0,0,0,"A",2,1,0,1962,800,500,250,40,200,485,200,0,53,0,5.30330490805908,0,5.30330490805908,16208,"A",0,0,0,-0.407968238326283
"134",0,0,50,"C",2,0,1,1988,225,200,150,22,50,313,75,50,27,3750,4.33073334028633,3.93182563272433,3.93182563272433,16380,"C",0,1,0,-0.407968238326283
"135",1,1,100,"C",2,0,0,1990,300,250,200,34,150,392,200,350,25,70000,5.30330490805908,5.86078622346587,5.01727983681492,16301,"C",0,1,0,-1.09362474715707
